director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title
Kim Bass,Rory Cochrane,Amy Smart,Major Dodson,Drama,tyson's run
Katt Shea,Grant Gustin,Scott Wolf,Kaylah Zander,Family,rescued by ruby
Graham Moore,Mark Rylance,Zoey Deutch,Johnny Flynn,Crime,the outfit
Adrian Lyne,Ben Affleck,Ana de Armas,Tracy Letts,Drama,deep water
Gail Lerner,Gabrielle Union,Zach Braff,Erika Christensen,Family,cheaper by the dozen
Charlie McDowell,Lily Collins,Jesse Plemons,Jason Segel,Crime,windfall
Ti West,Mia Goth,Jenna Ortega,Martin Henderson,Comedy,x
Iris K. Shim,Sandra Oh,Fivel Stewart,MeeWha Alana Lee,Horror,umma
Krystin Ver Linden,Keke Palmer,Common,Gaius Charles,Family,alice
Mariama Diallo,Regina Hall,Zoe Renee,Amber Gray,Horror,master
Peyfa,Bella Thorne,Melissa Leo,Roma Maffia,Mystery,measure of revenge
"Aaron Nee, Adam Nee (directors/screenplay); Oren Uziel, Dana Fox (screenplay); Sandra Bullock, Channing Tatum, Daniel Radcliffe, Da'Vine Joy Randolph, Brad Pitt",Sandra Bullock,Channing Tatum,Daniel Radcliffe,Action,the lost city
"Daniel Kwan, Daniel Scheinert (directors/screenplay); Michelle Yeoh, Stephanie Hsu, Ke Huy Quan, Jenny Slate, Harry Shum Jr., James Hong, Jamie Lee Curtis",Michelle Yeoh,Stephanie Hsu,Ke Huy Quan,Action,everything everywhere all at once
"Małgorzata Szumowska, Michał Englert",Naomi Watts,Billy Howle,Sophie Okonedo,Drama,infinite storm
Roshan Sethi,Karan Soni,Geraldine Viswanathan,Mark Duplass,Thriller,7 days
Chris Winterbauer,Cole Sprouse,Lana Condor,Mason Gooding,Comedy,moonshot
Daniel Espinosa,Jared Leto,Matt Smith,Adria Arjona,Action,morbius
Judd Apatow,Karen Gillan,Iris Apatow,Fred Armisen,Comedy,the bubble
Tarik Saleh,Chris Pine,Ben Foster,Gillian Jacobs,Action,the contractor
"Tim Federle (director, screenplay); Rueby Wood, Joshua Bassett, Aria Brooks, Lisa Kudrow, Norbert Leo Butz",Rueby Wood,Joshua Bassett,Aria Brooks,Music,better nate than ever
Richard Linklater,Glen Powell,Zachary Levi,Milo Coy,Animation,apollo 10 1⁄2: a space age childhood
Jeff Fowler,James Marsden,Ben Schwartz,Tika Sumpter,Action,sonic the hedgehog 2
Michael Bay,Jake Gyllenhaal,Yahya Abdul-Mateen II,Eiza González,Action,ambulance
Janus Metz Pedersen,Chris Pine,Thandiwe Newton,Laurence Fishburne,Thriller,all the old knives
Peter Sollett,Jaeden Martell,Isis Hainsworth,Adrian Greensmith,Comedy,metal lords
Rosalind Ross,Mark Wahlberg,Mel Gibson,Jacki Weaver,Drama,father stu
David Yates,Eddie Redmayne,Jude Law,Ezra Miller,Fantasy,fantastic beasts: the secrets of dumbledore
Riley Stearns,Karen Gillan,Beulah Koale,Theo James,Science,dual
Toby Meakins,Asa Butterfield,Iola Evans,Eddie Marsan,Horror,choose or die
Nick Lyon,Keesha Sharp,Jamie Bamber,Lydia Hearst,Thriller,titanic 666
Pierre Perifel,Sam Rockwell,Marc Maron,Craig Robinson,Animation,the bad guys
Robert Eggers,Alexander Skarsgård,Nicole Kidman,Claes Bang,Action,the northman
Tom Gormican,Nicolas Cage,Pedro Pascal,Sharon Horgan,Action,the unbearable weight of massive talent
Barry Levinson,Ben Foster,Vicky Krieps,Billy Magnussen,Drama,the survivor
"Barbara Białowąs, Tomasz Mandes (directors/screenplay); Blanka Lipińska, Tomasz Klimala (screenplay); Anna-Maria Sieklucka, Magdalena Lamparska, Michele Morrone",Anna-Maria Sieklucka,Magdalena Lamparska,Michele Morrone,Romance,365 days: this day
Martin Campbell,Liam Neeson,Guy Pearce,Monica Bellucci,Action,memory
Sammi Cohen,Rowan Blanchard,Auliʻi Cravalho,Isabella Ferreira,Comedy,crush
Michael D. Olmos,Charlie Clark,Kuno Becker,Marko Zaror,Action,green ghost and the masters of the stone
Sam Raimi,Benedict Cumberbatch,Elizabeth Olsen,Chiwetel Ejiofor,Fantasy,doctor strange in the multiverse of madness
Sofia Alvarez,Emma Pasarow,Belmont Cameli,Kate Bosworth,Romance,along for the ride
Mark A.Z. Dippé,Pete Davidson,J. K. Simmons,David Koechner,Animation,marmaduke
Emerson Moore,Jordan Claire Robbins,Theo Rossi,Tahirah Sharif,Thriller,escape the field
John Madden,Colin Firth,Matthew Macfadyen,Kelly Macdonald,War,operation mincemeat
Alex Hardcastle,Rebel Wilson,Sam Richardson,Zoë Chao,Comedy,senior year
Keith Thomas,Zac Efron,Ryan Kiera Armstrong,Sydney Lemmon,Thriller,firestarter
Elizabeth Allen Rosenbaum,Chosen Jacobs,Lexi Underwood,John Salley,Music,sneakerella
Jerrod Carmichael,Jerrod Carmichael,Christopher Abbott,Tiffany Haddish,Comedy,on the count of three
Chadd Harbold,Ashley Benson,Shiloh Fernandez,Logan Miller,Thriller,private property
Brian Cates,Tommy Woodward,Eddie James,Leigh-Allyn Baker,Comedy,family camp
Simon Curtis,Hugh Bonneville,Elizabeth McGovern,Maggie Smith,Drama,downton abbey: a new era
Akiva Schaffer,John Mulaney,Andy Samberg,Will Arnett,Animation,chip 'n dale: rescue rangers
Alex Garland,Jessie Buckley,Rory Kinnear,Paapa Essiedu,Action,men
"Colson Baker, Mod Sun (directors/screenplay); Colson Baker, Mod Sun, Becky G, Dove Cameron, Pete Davidson, Whitney Cummings, Megan Fox",Colson Baker,Mod Sun,Becky G,Comedy,good mourning
Joseph Kosinski,Tom Cruise,Miles Teller,Jennifer Connelly,Action,top gun: maverick
"Loren Bouchard, Bernard Derriman",H. Jon Benjamin,Dan Mintz,Eugene Mirman,Animation,the bob's burgers movie
Rick Dugdale,Anthony Hopkins,Chris Brochu,Aleks Paunovic,Science,zero contact
Jonas Carpignano,Swamy Rotolo,Claudio Rotolo,Carmela Fumo,Drama,a chiara
Julia Hart,Elijah Richardson,Grace VanderWaal,Tyrel Jackson Williams,Comedy,hollywood stargirl
David Cronenberg,Viggo Mortensen,Léa Seydoux,Kristen Stewart,Science,crimes of the future
Terence Davies,Jack Lowden,Peter Capaldi,Simon Russell Beale,Drama,benediction
Andrew Ahn,Joel Kim Booster,Bowen Yang,Conrad Ricamora,Comedy,fire island
Chloe Okuno,Maika Monroe,Karl Glusman,Burn Gorman,Mystery,watcher
Jeremiah Zagar,Adam Sandler,Queen Latifah,Ben Foster,Comedy,hustle
Colin Trevorrow,Chris Pratt,Bryce Dallas Howard,Laura Dern,Science,jurassic world dominion
Gaz Alazraki,Andy García,Gloria Estefan,Adria Arjona,Romance,father of the bride
Angus MacLane,Chris Evans,Keke Palmer,Dale Soules,Animation,lightyear
Joseph Kosinski,Chris Hemsworth,Miles Teller,Jurnee Smollett,Science,spiderhead
David Frankel,Bryan Cranston,Annette Bening,Rainn Wilson,Comedy,jerry & marge go large
Cooper Raiff,Cooper Raiff,Dakota Johnson,Vanessa Burghardt,Comedy,cha cha real smooth
Mike Judge,Mike Judge,Gary Cole,Chris Diamantopoulos,Animation,beavis and butt-head do the universe
Baz Luhrmann,Austin Butler,Tom Hanks,Helen Thomson,Drama,elvis
Scott Derrickson,Ethan Hawke,Mason Thames,Madeleine McGraw,Horror,the black phone
Patrick Hughes,Kevin Hart,Woody Harrelson,Kaley Cuoco,Action,the man from toronto
Dean Fleischer-Camp,Jenny Slate,Rosa Salazar,Thomas Mann,Animation,marcel the shell with shoes on
Akin Omotoso,Uche Agada,Ral Agada,Jaden Osimuwa,Family,rise
Greg Björkman,Clara Rugaard,Lewis Pullman,Lyrica Okano,Romance,press play
Kyle Balda,Steve Carell,Taraji P. Henson,Michelle Yeoh,Family,minions: the rise of gru
John Michael McDonagh,Ralph Fiennes,Jessica Chastain,Caleb Landry Jones,Thriller,the forgiven
Emma Holly Jones,Freida Pinto,Sope Dirisu,Oliver Jackson-Cohen,Comedy,mr. malcolm's list
Le-Van Kiet,Joey King,Dominic Cooper,Olga Kurylenko,Romance,the princess
Michael Lewen,Talia Ryder,Jordan Fisher,Ayo Edebiri,Romance,"hello, goodbye, and everything in between"
Taika Waititi,Chris Hemsworth,Christian Bale,Tessa Thompson,Action,thor: love and thunder
Chris Williams,Karl Urban,Zaris-Angel Hator,Jared Harris,Animation,the sea beast
"Anthony Russo, Joe Russo",Ryan Gosling,Chris Evans,Ana de Armas,Action,the gray man
"Rob Minkoff, Mark Koetsier",Michael Cera,Ricky Gervais,Mel Brooks,Family,paws of fury: the legend of hank
Carrie Cracknell,Dakota Johnson,Henry Golding,Cosmo Jarvis,Drama,persuasion
Olivia Newman,Daisy Edgar-Jones,Taylor John Smith,Harris Dickinson,Drama,where the crawdads sing
Anthony Fabian,Lesley Manville,Isabelle Huppert,Lambert Wilson,Drama,mrs. harris goes to paris
Jordan Peele,Daniel Kaluuya,Keke Palmer,Steven Yeun,Horror,nope
Calmatic,Jacob Latimore,Tosin Cole,Melvin Gregg,Comedy,house party
Jared Stern,Dwayne Johnson,Kevin Hart,Kate McKinnon,Animation,dc league of super-pets
B. J. Novak,B. J. Novak,Boyd Holbrook,Dove Cameron,Action,vengeance
Quinn Shephard,Zoey Deutch,Dylan O'Brien,Karan Soni,Comedy,not okay
David Leitch,Brad Pitt,Joey King,Aaron Taylor-Johnson,Action,bullet train
Peggy Holmes,Eva Noblezada,Simon Pegg,Jane Fonda,Comedy,luck
Dan Trachtenberg,Amber Midthunder,Dakota Beavers,Stormee Kipp,Thriller,prey
"Henry Joost, Ariel Schulman (directors/screenplay); Josh Koenigsberg (screenplay); Owen Wilson, Michael Peña, Walker Scobell, Keith L. Williams, Jesse Williams",Owen Wilson,Michael Peña,Walker Scobell,Family,secret headquarters
Jay Chandrasekhar,Jo Koy,Jimmy O. Yang,Tia Carrere,Comedy,easter sunday
"Ant Ward, Andy Suriano",Ben Schwartz,Omar Benson Miller,Brandon Mychal Smith,Animation,rise of the teenage mutant ninja turtles: the movie
Halina Reijn,Amandla Stenberg,Maria Bakalova,Myha'la Herrold,Horror,bodies bodies bodies
John Logan,Theo Germaine,Kevin Bacon,Carrie Preston,Horror,they/them
Andrew Semans,Rebecca Hall,Grace Kaufman,Michael Esper,Action,resurrection
J.J. Perry,Jamie Foxx,Dave Franco,Steve Howey,Fantasy,day shift
Katie Aselton,Diane Keaton,Elizabeth Lail,Taylour Paige,Comedy,mack & rita
John Patton Ford,Aubrey Plaza,Theo Rossi,Megalyn Echikunwoke,Crime,emily the criminal
James Ponsoldt,Lia Barnett,Madalen Mills,Eden Grace Redfield,Drama,summering
Baltasar Kormákur,Idris Elba,Sharlto Copley,Iyana Halley,Romance,beast
Julius Avery,Sylvester Stallone,Javon Walton,Martin Starr,Thriller,samaritan
John Hamburg,Kevin Hart,Mark Wahlberg,Regina Hall,Comedy,me time
Jessica M. Thompson,Nathalie Emmanuel,Sean Pertwee,Thomas Doherty,Romance,the bride
Deon Taylor,Joseph Sikora,T.I.,King Bach,Mystery,fear
Castille Landon,Hero Fiennes-Tiffin,Josephine Langford,Louise Lombard,Romance,after ever happy
Robert Zemeckis,Tom Hanks,Benjamin Evan Ainsworth,Joseph Gordon-Levitt,Animation,pinocchio
Gary Dauberman,Gary Dauberman (director/screenplay),Lewis Pullman,Makenzie Leigh,Horror,salem's lot
David Slade,Casey Likes,E’myri Crutchfield,Jeremy Davies,Horror,dark harvest
Gina Prince-Bythewood,Viola Davis,Thuso Mbedu,Lashana Lynch,Drama,the woman king
Kelly Fremon Craig,Rachel McAdams,Abby Ryder Fortson,Benny Safdie,Drama,"are you there god? it's me, margaret"
Josh Gordon & Will Speck,Anthony Ramos,Naomi Scott,Zachary Quinto,Science,distant
Olivia Wilde,Florence Pugh,Harry Styles,Olivia Wilde,Drama,don't worry darling
Anne Fletcher,Bette Midler,Sarah Jessica Parker,Kathy Najimy,Fantasy,hocus pocus 2
Nicholas Stoller,Billy Eichner,Luke Macfarlane,Ts Madison,Adventure,bros
"Will Speck, Josh Gordon",Javier Bardem,Shawn Mendes,Winslow Fegley,Family,"lyle, lyle, crocodile"
Chinonye Chukwu,Danielle Deadwyler,Whoopi Goldberg,Frankie Faison,Horror,till
Todd Field,Cate Blanchett,Nina Hoss,Noémie Merlant,Drama,tár
David Gordon Green,Jamie Lee Curtis,Andi Matichak,Will Patton,Horror,halloween ends
Marc Forster,Gillian Anderson,Helen Mirren,Ariella Glesar,Drama,white bird: a wonder story
J. D. Dillard,Jonathan Majors,Glen Powell,Christina Jackson,War,devotion
Phyllis Nagy,Elizabeth Banks,Sigourney Weaver,Kate Mara,Drama,call jane
Jaume Collet-Serra,Dwayne Johnson,Aldis Hodge,Noah Centineo,Action,black adam
Ol Parker,Julia Roberts,George Clooney,Kaitlyn Dever,Comedy,ticket to paradise
Daniel Stamm,Jacqueline Byers,Virginia Madsen,Ben Cross,Horror,the devil's light
David O. Russell,Christian Bale,Margot Robbie,John David Washington,Drama,amsterdam
Ryan Coogler,Lupita Nyong'o,Letitia Wright,Danai Gurira,Action,black panther: wakanda forever
Mark Mylod,Ralph Fiennes,Anya Taylor-Joy,Nicholas Hoult,Horror,the menu
Maria Schrader,Zoe Kazan,Carey Mulligan,Patricia Clarkson,Comedy,she said
Steven Spielberg,Michelle Williams,Seth Rogen,Paul Dano,Drama,the fabelmans
Michael B. Jordan,Michael B. Jordan,Tessa Thompson,Jonathan Majors,Drama,creed iii
Tommy Wirkola,David Harbour,John Leguizamo,Beverly D'Angelo,Action,violent night
Sarah Polley,Frances McDormand,Rooney Mara,Claire Foy,Comedy,women talking
James Cameron,Sam Worthington,Zoe Saldana,Stephen Lang,Action,avatar: the way of water
David F. Sandberg,Zachary Levi,Asher Angel,Jack Dylan Grazer,Comedy,shazam! fury of the gods
Joel Crawford,Joel Crawford (director); Antonio Banderas,Salma Hayek,Harvey Guillén,Animation,puss in boots: the last wish
Kasi Lemmons,Naomi Ackie,Ashton Sanders,Stanley Tucci,Drama,i wanna dance with somebody
Damien Chazelle,Brad Pitt,Margot Robbie,Tobey Maguire,Action,babylon
