user_name,user_location,user_description,user_verified,date,text,hashtags,source
Peter Nero,"Göteborg, Sverige",Creator of @NeroAvatars 🖤Gamefication: https://t.co/32LC3wYXNH 🖤 #NFTCollector #Alphabot🤖 #LoadedLion 🦁Fan of #darkart,False,2022-06-09 22:04:39+00:00,RT @NFTuck_: Shhhh… if I’m really quiet maybe they won’t notice me… #Imposter https://t.co/4wduT0bBS9,['Imposter'],Twitter for iPhone
Sarah Alesandra,Lincoln,"Writer, etc. @tarot_slut. @sarahthatpoet.",False,2022-06-09 21:44:06+00:00,No way is Spider-Man a Yankees fan #imposter https://t.co/DyX3ut7JFK,['imposter'],Twitter Web App
Nuru Massage by Chelle (S2SBodywork),United States,Mobile Nuru Massage Artist | Energy Healer | Teacher | Lover of All Things Cute | Lingam Massage Expert,False,2022-06-09 20:41:45+00:00,"@s2sbodywork is a #SCAMMER..they are pretending to be me and ask for money! Please pass along to your people! Thank u!

#ScamAlert #imposter #NuruMassages https://t.co/4s2t9sYAzi",['SCAMMER'],Twitter for Android
Cyntax Queen of the Metaverse 🦋👑🦋,Metaverse ,Queen of the Metaverse 🦋🦋👑🦋🦋,False,2022-06-09 19:23:12+00:00,"@SilentA15792628 @unusual_whales Yes, the real Meta®! Yucky Zucky= #imposter 
$mmat
$fb
$meta",['imposter'],Twitter for Android
Jeannette Seibly,"Denver, CO","Expert in success strategies & solving problems for small business & family business leaders. Speaker-author ""Hire Amazing Employees"" #Leadership #SmallBusiness",False,2022-06-09 19:02:17+00:00,"You have achieved many successes ... so why do you feel like an #imposter? https://t.co/9cgUEjIhVV 

@DENStartupWeek @ColoWomensBar @Automotive_News @WomeninMFG @WomeninAero @NAIWEnews @wibni @atd @SHRM @BuiltInColorado @milehightech @NAWBO
@WomeninAutoCo @WIC_DC @HuffPostWomen https://t.co/kLVYpZyiTU",['imposter'],LaterMedia
GameRiv,,"GameRiv is an emerging site dedicated to Esports, Gaming, and Entertainment News | Email: contact@gameriv.com",False,2022-06-09 18:21:35+00:00,"Fortnite x Among Us Collaboration: Release Date, Crewmate Cosmetics, Emote, How to Get, and More

More Details: https://t.co/mx7VpKLMOq

#Fortnite #Fortnitebr #AmongUs #imposter https://t.co/RhljLIZNDZ",,Twitter Web App
Wonyoung RT BOT,,Dedicated for Jang Won-young || Bot Retweet for Tweet with contains word 'wonyoung',False,2022-06-09 16:34:31+00:00,"RT @kaiczaa: ¡ Tags ¡
#TXT #TREASURE #ENHYPEN #TOMORROW_X_TOGETHER #IVE #LEESEO #WONYOUNG #HARUTO #SHIP #HORROR #SUSPENSE #MURDER #AU #ANGS…","['TXT', 'TREASURE', 'ENHYPEN', 'TOMORROW_X_TOGETHER', 'IVE', 'LEESEO', 'WONYOUNG', 'HARUTO', 'SHIP', 'HORROR', 'SUSPENSE', 'MURDER', 'AU']",Buku online
iris,,on going Blood Night au | on hold jangkku au,False,2022-06-09 16:33:45+00:00,"¡ Tags ¡
#TXT #TREASURE #ENHYPEN #TOMORROW_X_TOGETHER #IVE #LEESEO #WONYOUNG #HARUTO #SHIP #HORROR #SUSPENSE #MURDER #AU #ANGST #alternativeuniverse #horrorau #murderau #imposter #crack #AU #ships #beach","['TXT', 'TREASURE', 'ENHYPEN', 'TOMORROW_X_TOGETHER', 'IVE', 'LEESEO', 'WONYOUNG', 'HARUTO', 'SHIP', 'HORROR', 'SUSPENSE']",Twitter for Android
Michael,Newcastle Upon Tyne,"https://t.co/qHUpVivTPk…

Bet you've never see a hog as big as mine!",False,2022-06-09 16:25:40+00:00,Worlds BEST Addition to @FortniteGame #Imposter https://t.co/W7xyzKJNbV,['Imposter'],Twitter Web App
Tulsa BBB,"Tulsa, OK","Start with Trust. Submission Rules https://t.co/GiT4Qaphn2 BBB is not affiliated with, or responsible for, the advertisements appearing on this page.",False,2022-06-09 14:02:28+00:00,"Better Business Bureau is warning businesses and consumers to exercise caution if they receive an email or call claiming to be from Norton LifeLock. Find out more at https://t.co/94EuAhC2iH

#scamalert #BBBHelps #BBBTulsa #imposter https://t.co/NeWf7jIY27",,LaterMedia
Alex G Smith,London,"iManage Product. Ex-Innovation at Reed Smith. Ex-Lexis product. ""El Supremo"" (🤦‍♀️). Geekily into service design, data, offchain tech + cricket (views my own)",False,2022-06-09 14:00:34+00:00,RT @Meloney007: Love this - gets me every time.  Why are we so comfortable with giving ourselves a personal kicking 🤷‍♀️ #imposter #selfdou…,['imposter'],Twitter Web App
MMM 007™,City of That London ,Institutionalised by City law firms for +36 years | Pro-Europe | MH | Woke | Millwall | Fearlessly wears double leopard | #bekind | ENFJ | HR | all views my own,False,2022-06-09 13:59:54+00:00,Love this - gets me every time.  Why are we so comfortable with giving ourselves a personal kicking 🤷‍♀️ #imposter #selfdoubt https://t.co/zMjJkETa0s,['imposter'],Twitter for iPhone
Joaquin.💎XYO💎.🎧EDM🎧,"Pilas, España","🎧 EDM as a way of Life 🎧. Holder💰of 💎 XYO & CRO 💎. From Pilas, Seville, Spain",False,2022-06-09 13:38:28+00:00,RT @NFTuck_: Shhhh… if I’m really quiet maybe they won’t notice me… #Imposter https://t.co/4wduT0bBS9,['Imposter'],Twitter for iPhone
Jeannette Seibly,"Denver, CO","Expert in success strategies & solving problems for small business & family business leaders. Speaker-author ""Hire Amazing Employees"" #Leadership #SmallBusiness",False,2022-06-09 13:02:16+00:00,"You have achieved many successes ... so why do you feel like an #imposter? https://t.co/9cgUEjIhVV 

#entrepreneurmindset #entrepreneurs @WITWomen @Women_in_Mobile #2022 @SHRM @ATDPress #leadership #FamilyBusiness #SmallBusiness #leadershipdevelopment #mindset #getunstuck https://t.co/cAcUaU895I",['imposter'],LaterMedia
101soundboards.com,,"https://t.co/ltJmMaKgs9 Have fun playing sound clips!
Automated account, not monitored.",False,2022-06-09 13:00:05+00:00,Sound clip: Defeat (imposter win) https://t.co/KEYe44gSh1 #amongus #among #us #soundboard #defeat #imposter #win,"['amongus', 'among', 'us', 'soundboard', 'defeat', 'imposter', 'win']",101soundboards
Alex Gutjahr 🚢,Start your journey today →,I help engineers become effective tech leaders by sharing algorithms for making better decisions | 10+ years as tech lead in Web3/Climate/Health/Gaming/Finance.,False,2022-06-09 12:00:02+00:00,"Fake it 'till you make it is bullshit. It is a one-way road destined for misery, stress and feeling like an #imposter.

Here is how to escape it. https://t.co/ZPyjXR2S1q",,Typeshare.co
mindful scientist,,"shares about #MindfulnessinAcademia, breaking ancient science stereotypes and unhealthy work ethic. 
Let's take a deep breath and do it!

by @Maria_Scheel_",False,2022-06-09 10:32:53+00:00,"I start seeing, that a PhD can either or both be tough academically as well as personally.
While I see many struggle with the system of academia, my biggest PhD problems all seem to be personal, relating to #FirstGen #Imposter #patience and #confidence @PhDVoice @academicvoices",,Twitter Web App
Kieran,"Nottingham, England",🟨⬜️ || Yellow Hex Overlord || Tweeting for your entertainment || 🚀 🌙 🤖 || Faction Master #97 || 🟨⬜️,False,2022-06-09 09:30:14+00:00,Shhhh… if I’m really quiet maybe they won’t notice me… #Imposter https://t.co/4wduT0bBS9,['Imposter'],Twitter for iPhone
purple@7月3日までショタ化＆7月25まで猫化,FNF進出への道を探す道中,"アイコンを描いてくれた神絵師さん
@choko_01417
どうもpurpleです。
主にアモアスとかFNFとかを描いたりしています。
フォロバ率45.01%
アモアスアカウントの人は大体知らんうちにフォローしてる変人 一応男っす",False,2022-06-09 08:05:16+00:00,"#FNF #fridaynightfunkinfanart  #amongusOC  #AmongUsFanart #imposter #Vsimposter #fnfimposter #アモングアス #AmongUs
WEEK1 purple Normal icon＆lose icon https://t.co/RMuLnEFp7q","['FNF', 'fridaynightfunkinfanart', 'amongusOC', 'AmongUsFanart', 'imposter', 'Vsimposter', 'fnfimposter', 'アモングアス', 'AmongUs']",Twitter for Android
Koks-Fee,,I'm Koksy ∆ 16 ∆ DC: Koks-Fee#0096,False,2022-06-09 06:29:22+00:00,"#Imposter is gay
@AmongUsGame https://t.co/afnO9khgEq",['Imposter'],Twitter for Android
leon loves dnf !,he / they ,#PUNZ: valorantpunzo that’s a great @,False,2022-06-09 06:19:16+00:00,@B0NEBLOCK during pride month too?…. they’re a #imposter #ugly 🏳️‍🌈💖,"['imposter', 'ugly']",Twitter for iPhone
sugared / nui 💘,(re)tweet heavy / suggestive,"nui / lenecce / darenne marcei 🌈💞 23 / it/it's / 🇯🇵🇭🇹 
pseudoanimator/pixel artist/digital painter
- i draw some🍊🐈‍⬛🙇‍ i talk a lot 🐩 flamingoadjacent",False,2022-06-09 03:45:42+00:00,"RT @sugartraced: there was an i m p o s t e r among us!!
#pixelart #pixel_dailies @Pixel_Dailies #imposter https://t.co/wmWophT3jP","['pixelart', 'pixel_dailies', 'imposter']",Twitter Web App
DGTLONE 🇨🇦,Canada,"Twitch personality / @Deception_GG Twitch Team. #D1Squad   
 insta - ( Dgtl_One )   Sponsored by  @FatalGrips 
  Use Code D1FG2021 10% Off",False,2022-06-09 02:39:41+00:00,Who is this an imposter DgtlOne  @dgtl_one LOL guess my name caught on cause I have deff be DgtlOne longer 🤣 @TheYuccs @ichasethesky @SS_Lizzie @irish1620 @15AFAME_ @sirmadsen @ArcaneYT @retro_hd @Arty5011 @DebStarr15 @oladioss @braze666 @twitch #imposter https://t.co/Qmd5eH8l8L,,Twitter for Android
TheRealHarryTruman,,I have a nuclear personality,False,2022-06-09 02:16:48+00:00,"@Joseph_V_Stal1n Your words tell nothing but falsehoods. The image proves the necessity of unity and trust in these dark hours and you words do naught but lead us astray from our path. Stay strong brothers.
#sus #imposter #capitalism",,Twitter Web App
Rockstar Games Updates,,"Latest Updates Of GTA6, RDR2, Max Payne etc. of Rockstar Games and some other games as well and supporting indie game developers",False,2022-06-09 00:52:55+00:00,"RT @diemmarshall: Among US by me.
#AmongUs #memes #amongusmemes #meme #dankmemes #fortnite #gaming #amongusgame #amongusfanart #funny #funn…","['AmongUs', 'memes', 'amongusmemes', 'meme', 'dankmemes', 'fortnite', 'gaming', 'amongusgame', 'amongusfanart', 'funny']",Rockstar-Games-Retweet
"Diem,....,Marshall",Salta  Argentina.,Buenas :D hago figuras. de juegos para sustentar mi arte personal. y Crecer como artista :),False,2022-06-09 00:52:46+00:00,"Among US by me.
#AmongUs #memes #amongusmemes #meme #dankmemes #fortnite #gaming #amongusgame #amongusfanart #funny #funnymemes #gamer #art #minecraft #tiktok #anime #memesdaily #twitch #impostor #game #ol #imposter #lol #amongusart #shitpost #amongusmemes https://t.co/N2vxim4sIu","['AmongUs', 'memes', 'amongusmemes', 'meme', 'dankmemes', 'fortnite', 'gaming', 'amongusgame', 'amongusfanart', 'funny']",Twitter for Android
Joseph Vissarionovich Stalin,Sobiet Union,Premier of the Soviet Union. Man of Steel.,False,2022-06-09 00:51:49+00:00,"@Rea1HarryTruman Comrade, I think this image is more fitting for your own countrymen and leaders. Your senator McCarthy and more ripped your highest offices and your country apart looking for men of red honor and heart. Maybe you’re scared we’re right. 
#RedScare #McCarthism #sus #imposter",,Twitter for iPhone
Sophie_Stargazer,,"Hi! I'm Sophie Stargazer/Remington 

🏳️‍⚧️ Tran/Nonbinary

 Dragartist/Artist/Gamer",False,2022-06-08 23:55:59+00:00,"RT @ArieannPentagon: I don’t know if I ever posted these, but here is my #AmongUs stickers I’ve made and I’m so proud of them! 
-
-
#APen #…","['AmongUs', 'APen']",Twitter for Android
Standard Gazette (SG),"United Kingdom, Africa","Providing accurate | verifiable | impartial news. Google App: https://t.co/qb94BwvzBK
Email: news@tstga.com",False,2022-06-08 22:20:34+00:00,"Imposter Federal govt employee fools Edo government, caught by Okpella elders - 
Police have arrested eight suspected fraudsters posing as g - https://t.co/qMjj0rTIVM

#EdoState #imposter #Okpella
#News https://t.co/iYUVZfrQ80",,tstga
@InfamousKrypto1 The Crook,,I am a scammer! I create fake tokens 💩💩💩 #shintama #tweelon #rolodex #ustama 🤡🤡🤡 @infamousKrypto1 ⬅️ 💩👈🏻,False,2022-06-08 22:19:46+00:00,"@RTweelon @InfamousKrypto1 THEN THEN HE IS THE ""man"" OF SHIT SCAMPER @Infamouskrypto1 @tu @Z_Humphries @austinahilton @AuzsomeAustin @ChinaPumpWXC @Shib_nobi @VitalikButerin @Tweelon_eth @CoinMarketCap @JakeGagain @Gabriel80111515 @BillyM2k #imposter 👇👇👇👇 @Infamouskrypto1 🤡👇👇👇👇👇👇 https://t.co/syfgUAjTLB",,Twitter for iPhone
@InfamousKrypto1 The Crook,,I am a scammer! I create fake tokens 💩💩💩 #shintama #tweelon #rolodex #ustama 🤡🤡🤡 @infamousKrypto1 ⬅️ 💩👈🏻,False,2022-06-08 22:19:40+00:00,"@RTweelon @InfamousKrypto1 @EricCryptoman THEN THEN HE IS THE ""man"" OF SHIT SCAMPER @Infamouskrypto1 @tu @Z_Humphries @austinahilton @AuzsomeAustin @ChinaPumpWXC @Shib_nobi @VitalikButerin @Tweelon_eth @CoinMarketCap @JakeGagain @Gabriel80111515 @BillyM2k #imposter 👇👇👇👇 @Infamouskrypto1 🤡👇👇👇👇👇👇 https://t.co/6sNVqe9sRM",,Twitter for iPhone
@InfamousKrypto1 The Crook,,I am a scammer! I create fake tokens 💩💩💩 #shintama #tweelon #rolodex #ustama 🤡🤡🤡 @infamousKrypto1 ⬅️ 💩👈🏻,False,2022-06-08 22:19:33+00:00,"@RTweelon @InfamousKrypto1 @Cryptic_Maestro @cryptojourneyrs @OfficialTravlad @Z_Humphries @KrownCryptoCave @elliotrades @austinahilton @1MillSaviour @1goonrich @YONWORLD7 @Yourpop8 @Only1EZM @SHIBNOBI_KANG THEN THEN HE IS THE ""man"" OF SHIT SCAMPER @Infamouskrypto1 @tu @Z_Humphries @austinahilton @AuzsomeAustin @ChinaPumpWXC @Shib_nobi @VitalikButerin @Tweelon_eth @CoinMarketCap @JakeGagain @Gabriel80111515 @BillyM2k #imposter 👇👇👇👇 @Infamouskrypto1 🤡👇👇👇👇👇👇 https://t.co/w9CrQPvp0v",,Twitter for iPhone
@InfamousKrypto1 The Crook,,I am a scammer! I create fake tokens 💩💩💩 #shintama #tweelon #rolodex #ustama 🤡🤡🤡 @infamousKrypto1 ⬅️ 💩👈🏻,False,2022-06-08 22:18:47+00:00,"THEN THEN HE IS THE ""man"" OF SHIT SCAMPER @Infamouskrypto1 @tu @Z_Humphries @austinahilton @AuzsomeAustin @ChinaPumpWXC @Shib_nobi @VitalikButerin @Tweelon_eth @CoinMarketCap @JakeGagain @Gabriel80111515 @BillyM2k #imposter 👇👇👇👇 @Infamouskrypto1 🤡👇👇👇👇👇👇 https://t.co/RdDrLZHi2W",,Twitter for iPhone
Standard Gazette (SG),"United Kingdom, Africa","Providing accurate | verifiable | impartial news. Google App: https://t.co/qb94BwvzBK
Email: news@tstga.com",False,2022-06-08 21:35:58+00:00,"Imposter: Federal govt employee fools Edo government, caught by Okpella elders - 
Police have arreste - https://t.co/qMjj0rTIVM

#EdoState #imposter #Okpella
#News https://t.co/VpbIbVbiM6",,tstga
Pakalolo Princess,The Basement,"A strange girl she is, and yet funny and witty, she wants to be abducted by aliens.",False,2022-06-08 21:04:22+00:00,"#FYI Can someone figure out who the real marine in the pics is? He needs to know this dude is going around sharing pics of him &amp; his daughter. That will not fly with all the vets I know!! 

#army #navy #coastguard #marines #imposter #marinecorps #fakemilitary #scammer",['FYI'],Twitter for Android
Jorge Gallardo Cochifas,,"Doctor (c) en Sociología. CTS, psiquiatría, neurociencia y biomedicina. PhD (c) in Sociology. STS and psychiatry, neuroscience, biomedicine",False,2022-06-08 17:54:43+00:00,"RT @SciAsCulture: Volume 31(2) is out now! Check out articles on #satellite development in the #space age, #predatory #publishing, #GMO tea…","['satellite', 'space', 'predatory', 'publishing', 'GMO']",Twitter for Android
Agu Biafra Phantom⚡️,Indigenous_People_Of_Biafra_Bc,■TECH INVENTION GURU ■EMPHASISING THE AMBITION TO BE CREATIVE TO THE FULLNESS WITH EFFICIENT&INNOVATIVE INPUT FOR QUALITY INVESTMENT&LIFE CHANGING POTENTIALS.,False,2022-06-08 15:36:03+00:00,"@ChinasaNworu @BBCWorld @BBCAfrica @real_IpobDOS @EUinNigeria @UKinNigeria @USinNigeria @ForeignPolicy Just look at how low #ndiara #efuluefu has taken themselves to, and the #terrorist #late #MuhammaduBuhari #imposter #jubrilAminu of #Sudan is looking at them like #idiots.",,Twitter for iPhone
